nomor_perkara,tgl_register,klasifikasi,jenis_perkara,metode,hakim,anggota1,anggota2,pp,js,tgl_sidang,tgl_sidang_override,__id
5 Pdt.P,2025-01-02,PAW,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,"Rina Marlina, SE",2025-01-15,0,c7c5b1f6-adb4-4713-818b-f14c33700a4b
32 Pdt.G,2025-01-02,CT,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,9add697b-3215-4cef-a335-98e185006aa8
20 Pdt.G,2025-01-02,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",30,,Rini,"Winahya Vembriarsi, A.Md.",2025-01-13,0,9c8ec239-0855-4a13-bf47-891f45cee169
19 Pdt.G,2025-01-02,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",31,,Runie,"Sri Maryati, A.Md",2025-01-16,0,acb9fd57-ab08-4715-8a3a-d9bdefa68e54
22 Pdt.G,2025-01-02,CT,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-01-14,0,f22b96ed-e0b1-49ff-b72b-9634d9853965
17 Pdt.G,2025-01-02,CG,E-Court,e-court,"Drs. Ifdal, S.H.",8,,Endang,"Irvan Riditya Fauzi, A.Md.",2025-01-16,0,1f84524b-c567-4712-b20b-5f648c46a757
2 Pdt.G,2025-01-02,ISTBAT,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H","Dra. Taslimah, M.H.","Drs. Agus Abdullah, M.H.",Ikbal,Umi Nurulia,2025-02-03,0,6a3310e8-73eb-4377-8412-442276fafb4f
3 Pdt.G,2025-01-02,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H","Drs. Jajat Sudrajat, S.H., M.H","Drs. Agus Abdullah, M.H.",Inayatus,"Evi Setyowati, S.Sos.",2025-01-14,0,54f8d867-02d1-4c91-b0b8-848cba60d31c
18 Pdt.G,2025-01-02,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",5,,Rifai,"Sri Maryati, A.Md",2025-01-16,0,9ca71031-11d6-45f5-8752-2df5defb68c8
5 Pdt.G,2025-01-02,CG,E-Court,e-court,"Dra. Taslimah, M.H.","Drs. Ifdal, S.H.","Dra. St. Nadirah, S.H., M.H",Noni,"Sri Maryati, A.Md",2025-01-14,0,929289eb-42a1-4eb8-8b70-84dac242ad7f
6 Pdt.G,2025-01-02,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",Drs. H. Syakhrani,"Dra. Taslimah, M.H.",Taufik,"Rina Marlina, SE",2025-01-15,0,8444d46c-f8f0-409f-9cc3-6fe59e4bed09
7 Pdt.G,2025-01-02,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.","Drs. Zaenal Musthofa, S.H., M.H.","Drs. Jajat Sudrajat, S.H., M.H",Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,e30b263e-d53f-4d08-92c5-b9592900d272
8 Pdt.G,2025-01-02,CT,E-Court,e-court,Drs. H. Syakhrani,"Drs. Zaenal Musthofa, S.H., M.H.","Dra. St. Nadirah, S.H., M.H",Suji,Sanjaya Langgeng Santoso,2025-01-16,0,7c3abf99-0ead-4ac6-b65d-d45d857cee0f
9 Pdt.G,2025-01-02,CG,E-Court,e-court,"Drs. Ifdal, S.H.","Drs. Sohel,S.H.","Ahmad Bisri, S.H., M.H",Zamzam,"Irvan Riditya Fauzi, A.Md.",2025-01-16,0,f31389c9-0aaa-4beb-bd43-61b6a9a72dfc
4 Pdt.G,2025-01-02,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",Drs. H. Syakhrani,"Dra. Mulathifah, M.H.",Nengceu,Sanjaya Langgeng Santoso,2025-01-14,0,1c251b29-ca9c-4a23-9eb5-10c2cb133a5b
10 Pdt.G,2025-01-02,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H","Dra. Mulathifah, M.H.","Drs. Agus Abdullah, M.H.",Syaifurohim,Umi Nurulia,2025-01-13,0,01fd7cd6-b60f-4e96-a33c-c6095af3c0fa
11 Pdt.G,2025-01-02,CT,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,"Evi Setyowati, S.Sos.",2025-01-14,0,2e382222-f71c-4dd3-9fc7-248a25656ccd
12 Pdt.G,2025-01-02,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",Beban2,Kolom6,Alfiah,Sanjaya Langgeng Santoso,2025-01-14,0,4a4b7e18-bc41-4a9c-bffb-8b7420a87c43
13 Pdt.G,2025-01-02,HAA,E-Court,e-court,"Dra. Taslimah, M.H.",31,,Siraj,"Sri Maryati, A.Md",2025-01-14,0,f27350a4-32c2-4018-9883-a98090e4e79a
14 Pdt.G,2025-01-02,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",28,Suji,Nurholia,"Rina Marlina, SE",2025-01-15,0,e27f30fd-5017-4916-b04c-128a1683d73f
15 Pdt.G,2025-01-02,CT,E-Court,e-court,"Drs. Agus Abdullah, M.H.",31,,Thahir,"Monika Septi Indriyani, A.Md., S.H.",2025-05-07,0,5aeae1cb-2ec0-443b-be94-52f92add3f08
16 Pdt.G,2025-01-02,CG,E-Court,e-court,Drs. H. Syakhrani,31,,"Sri Mulyati, S.Ag., M.H.",Sanjaya Langgeng Santoso,2025-01-16,0,6c3f7750-7579-40f0-a5ff-d2d087924552
1 Pdt.P,2025-01-02,PAW,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H","Drs. Ifdal, S.H.","Ahmad Bisri, S.H., M.H",Neneng,"Winahya Vembriarsi, A.Md.",2025-01-13,0,a7dfd583-510e-4d4e-821f-ff3cdb18c21e
46 Pdt.G,2025-01-03,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-01-14,0,dc56feba-08e1-4340-ae86-fce569ab931b
47 Pdt.G,2025-01-03,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-01-14,0,bef855ca-fb99-4f9c-966d-9ff730568058
48 Pdt.G,2025-01-03,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-14,0,6ae2a875-8e9b-48e2-9a15-41f7fa179293
49 Pdt.G,2025-01-03,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,"Rina Marlina, SE",2025-01-15,0,e8cf5f91-08f5-4329-9f1b-def796346bf9
50 Pdt.G,2025-01-03,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,4f55e016-6fbf-469b-83c8-b9cfd2a65b1f
53 Pdt.G,2025-01-03,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-01-13,0,e977c475-9e30-47df-bd7e-b7a59d1acf9d
8 Pdt.P,2025-01-03,PAW,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.",Sanjaya Langgeng Santoso,2025-01-16,0,1fa8efe0-172e-43a5-9e8b-b32e2cbb965d
52 Pdt.G,2025-01-03,CT,E-Court,e-court,"Drs. Ifdal, S.H.",,,Endang,"Irvan Riditya Fauzi, A.Md.",2025-01-16,0,a5cd2c00-f698-4d42-b5c1-9710512bee0c
54 Pdt.G,2025-01-03,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-01-13,0,a94370d1-b78c-4dcd-a672-eab3a88a2909
55 Pdt.G,2025-01-03,CT,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,"Evi Setyowati, S.Sos.",2025-01-14,0,59ad4da3-d00d-4e07-bc20-1c819db236fa
45 Pdt.G,2025-01-03,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Umi Nurulia,2025-01-13,0,42c3ef6c-3994-4196-a763-d046d2bafc46
51 Pdt.G,2025-01-03,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Rifai,"Sri Maryati, A.Md",2025-01-16,0,2c3e6d8e-a8e7-4339-89e0-294a3ed862c2
44 Pdt.G,2025-01-03,CT,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,"Winahya Vembriarsi, A.Md.",2025-01-13,0,c13b3a70-d4ba-4186-876b-9f388c69b691
36 Pdt.G,2025-01-03,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-01-13,0,51ebdeb7-cae9-4d22-bfd4-20e97fd6e9c7
42 Pdt.G,2025-01-03,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Rifai,"Sri Maryati, A.Md",2025-01-16,0,ce538085-8c9c-4eb7-a474-800dc08e53ca
43 Pdt.G,2025-01-03,CG,E-Court,e-court,"Suryadi, S.Ag., S.H., M.H.",,,Hisni,"Irvan Riditya Fauzi, A.Md.",2025-01-15,0,00688fde-f1a3-4e09-a28d-b520e8938f94
33 Pdt.G,2025-01-03,CG,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.",Sanjaya Langgeng Santoso,2025-01-16,0,cf77ab0b-2bcc-4123-b997-d26903e1c326
34 Pdt.G,2025-01-03,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Endang,"Irvan Riditya Fauzi, A.Md.",2025-01-16,0,9c08789e-0dd0-4aca-96db-7b96e0a1b573
37 Pdt.G,2025-01-03,CT,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,"Evi Setyowati, S.Sos.",2025-01-14,0,ffa66e83-74eb-476d-9682-f0798f7081ba
38 Pdt.G,2025-01-03,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-01-14,0,98936c71-90fb-4801-bcf8-1f5352eafac1
35 Pdt.G,2025-01-03,ISTBAT,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-02-03,0,a681d94d-6ea8-40db-95ea-6a432941ce1f
40 Pdt.G,2025-01-03,HAA,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-01-15,0,6c4a2343-5613-4713-ad35-2401f515e30b
6 Pdt.P,2025-01-03,PAW,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,c58ed489-c062-47bf-9728-acf09daabb15
7 Pdt.P,2025-01-03,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,"Irvan Riditya Fauzi, A.Md.",2025-01-16,0,aa42455f-021e-4d85-8d41-9b842fdf499a
39 Pdt.G,2025-01-03,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-14,0,40b57471-b063-4ef2-bafd-1770e29a3870
77 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-02-04,0,87e81ee5-b179-4da1-bee1-9c4d52fdf48a
82 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,"Winahya Vembriarsi, A.Md.",2025-01-20,0,88ea6a9c-f104-4968-8e46-0bd69485a4e1
78 Pdt.G,2025-01-06,CT,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-14,0,517959ed-4949-4542-9c63-fd0204965765
9 Pdt.P,2025-01-06,PAW,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-01-15,0,9f595a3f-affa-4c9f-934c-d0767a1b7243
79 Pdt.G,2025-01-06,CT,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,f3e2f044-1748-450d-9103-cc6c7815c26c
80 Pdt.G,2025-01-06,CG,E-Court,e-court,Drs. H. Syakhrani,,,Suji,Sanjaya Langgeng Santoso,2025-01-16,0,f0f9518f-2ecf-4c57-8866-57b699925e21
81 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,"Irvan Riditya Fauzi, A.Md.",2025-01-16,0,a4b668e4-6bb7-477b-951d-4741ca95e9eb
83 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Umi Nurulia,2025-05-12,0,cf9798c2-0ccc-464c-8322-ee42d63b24a4
89 Pdt.G,2025-01-06,CG,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.",Sanjaya Langgeng Santoso,2025-01-16,0,fb834e50-f3f8-4325-a42b-50ac9ac6ead6
85 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-01-14,0,5b054034-13d5-4c41-b8c4-0a87d8d233d0
86 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-14,0,bab5c45a-e30b-4402-99a9-e18f80e45f1a
87 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,"Rina Marlina, SE",2025-01-15,0,ef0b0c01-4c9b-4ba3-872b-ba824b83f8d7
88 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,d4617544-3bdf-4073-bb6f-224369311cff
90 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,Raden Yadi Sumiadi,2025-05-08,0,145a6926-9eca-4617-95fe-9e1a738e6f2c
91 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-01-20,0,b37de2ef-9298-4990-bf16-623c5c6d749a
76 Pdt.G,2025-01-06,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,"Evi Setyowati, S.Sos.",2025-01-14,0,671ea045-3967-4615-950f-8351ef5bb760
84 Pdt.G,2025-01-06,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-01-14,0,7e211d66-8d0d-49d3-8abc-2bbcd479d83e
75 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-01-20,0,308936a5-f14c-42e5-bfce-abe4f67491e9
68 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,"Rina Marlina, SE",2025-01-15,0,9238a784-4262-43ab-8622-d1c8840d6cc1
73 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Endang,"Irvan Riditya Fauzi, A.Md.",2025-01-16,0,199c4134-a929-4654-9d8d-cb1a9654ed01
57 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-14,0,00233de1-08a8-4a95-bdfe-bb94e5f9eb92
58 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Sehudin, S.H.",2025-05-07,0,ede568bf-e91f-411c-81b3-21f9f0b04d37
59 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,Sanjaya Langgeng Santoso,2025-05-07,0,707b347c-c1c6-45c0-b741-77ca5afead2a
60 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-01-16,0,e7b00ed1-2ee5-4216-89e5-e9a730350f35
61 Pdt.G,2025-01-06,CG,E-Court,e-court,Drs. H. Syakhrani,,,Suji,Sanjaya Langgeng Santoso,2025-01-16,0,10e562d8-b471-43ea-ab69-89dd5e472ada
62 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,"Irvan Riditya Fauzi, A.Md.",2025-01-16,0,13268d61-2bcb-435b-bee6-7e6d19b80fa0
63 Pdt.G,2025-01-06,ISTBAT,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,"Winahya Vembriarsi, A.Md.",2025-02-03,0,a3cb025b-aa4b-4777-ae66-a7a8d02c8aa2
64 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Umi Nurulia,2025-01-20,0,55a74b6b-9b9a-4a58-b46d-433413b46712
56 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-01-14,0,31d259ae-9ab5-4254-8bb9-05c9d02640b9
66 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-01-14,0,77c8d002-798d-49b9-93fe-55db72e49dc7
65 Pdt.G,2025-01-06,HAA,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-01-14,0,b8e7b64a-97a7-4ac3-8617-89bafe434cc8
72 Pdt.G,2025-01-06,CG,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.",Sanjaya Langgeng Santoso,2025-01-16,0,0bbed439-c4f5-4d25-a5e5-69d7d6145f03
71 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-01-16,0,826499ac-a4e5-4d29-b8cc-431f8a4f12a3
74 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-01-20,0,68951c85-a1eb-4627-90d0-ae63adde5da8
69 Pdt.G,2025-01-06,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,561686f7-b679-41ce-8a8d-a554f32c7459
67 Pdt.G,2025-01-06,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-14,0,c766afea-8028-43b2-8a52-4ae4677458f9
70 Pdt.G,2025-01-06,CG,E-Court,e-court,"Suryadi, S.Ag., S.H., M.H.",,,Hisni,"Irvan Riditya Fauzi, A.Md.",2025-01-15,0,091fe76b-08df-420d-b4f9-8616e4dd04a8
109 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Endang,"Irvan Riditya Fauzi, A.Md.",2025-01-16,0,c5d42a25-70ee-40f6-8585-eb14ad1f4042
110 Pdt.G,2025-01-07,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-01-20,0,675f962a-c0cf-4ca9-9cf6-86f7aa77665f
111 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-01-20,0,a4de2ebd-657f-4403-890b-3bb54cd81c4f
112 Pdt.G,2025-01-07,ISTBAT,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,"Evi Setyowati, S.Sos.",2025-02-04,0,d6ae2cc5-9e01-4f3b-bc78-0cda372115c2
113 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-01-21,0,4e72f4e5-7eae-43ca-b995-aaf99dd71774
114 Pdt.G,2025-01-07,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-21,0,b445eaeb-df99-43ba-ac46-33ed2fc6b1b1
115 Pdt.G,2025-01-07,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-01-15,0,cfceab46-c876-4e74-9ffc-50e061362c50
117 Pdt.G,2025-01-07,CG,E-Court,e-court,Drs. H. Syakhrani,,,Suji,"Yuri Ditya Putra Fernanda, A.Md.",2025-05-08,0,925cdc04-8601-4d9f-b953-972cd0db234b
118 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,Sabar Kuswanto,2025-05-08,0,84a9d7bd-1a52-4559-abc9-abce36515da8
120 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Umi Nurulia,2025-01-20,0,73ca50e4-0eae-48ad-9417-e3bdf3048337
121 Pdt.G,2025-01-07,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-01-21,0,758e40cb-1435-4eb6-8530-046f9d260c17
122 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-01-21,0,ee1f74c4-e7bd-4212-a7df-1b4e0e3be3c7
123 Pdt.G,2025-01-07,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-21,0,b4af9e3a-cada-4033-bf08-9a8328c48016
108 Pdt.G,2025-01-07,CT,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.",Sanjaya Langgeng Santoso,2025-01-16,0,26792e10-81a9-4c0f-a1d5-3af7fa9cd1d3
124 Pdt.G,2025-01-07,CT,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,Zainal Arifin,2025-05-14,0,64c2fad7-d417-47d0-8b1d-b87e0b03bf74
116 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,b1401bde-bb64-4439-b13f-3af731ac19ed
119 Pdt.G,2025-01-07,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,"Winahya Vembriarsi, A.Md.",2025-01-20,0,63150676-132a-4f86-918c-37a3f08a4c57
107 Pdt.G,2025-01-07,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Rifai,"Sri Maryati, A.Md",2025-01-16,0,03b9770d-81bb-433c-8ccf-52ffc572fe12
105 Pdt.G,2025-01-07,CT,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,"Rina Marlina, SE",2025-01-15,0,a84534b8-0b53-4b26-9613-cc179eb85dfb
106 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,Aji Djuanda Rachmad,2025-05-14,0,97ac3a4c-ae8c-4a7c-b21f-e7e58187ab29
92 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Yulisma,Umi Nurulia,2025-01-20,0,a0ef7a56-b808-448b-9980-82cc999f46b9
93 Pdt.G,2025-01-07,CT,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,"Evi Setyowati, S.Sos.",2025-01-21,0,52943493-db94-440e-8e9c-3096d5dae198
10 Pdt.P,2025-01-07,Asal Usul,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-01-21,0,65747c72-7b6f-4fe5-95f8-b64424b5df5b
95 Pdt.G,2025-01-07,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-01-15,0,ea6aad5c-a1c2-4430-9da2-492c63df4c56
96 Pdt.G,2025-01-07,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,74417980-6424-41ca-be71-21d2321dcaad
